"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.70","23.05","22.60","+0.10","+0.44%","725.96K","24/08"
"AAON","AAON","41.35","41.55","40.80","0.00","0.00%","228.26K","24/08"
"AAR","AIR","45.99","46.14","45.61","+0.22","+0.48%","88.53K","24/08"
"Abercrombie&Fitch","ANF","27.34","28.40","27.07","-1.35","-4.71%","2.68M","24/08"
"ABM Industries","ABM","30.50","30.55","30.05","+0.15","+0.49%","599.34K","24/08"
"Acadia","AKR","28.71","28.77","28.40","+0.06","+0.21%","395.46K","24/08"
"Aceto","ACET","3.27","3.30","3.22","+0.03","+0.77%","105.45K","24/08"
"Acorda","ACOR","28.90","29.10","28.50","0.00","0.00%","500.10K","24/08"
"Actuant","ATU","29.10","29.45","28.98","-0.25","-0.85%","310.46K","24/08"
"ADTRAN","ADTN","16.95","17.15","16.90","-0.05","-0.29%","208.76K","24/08"
"Advanced Energy","AEIS","58.04","58.75","57.74","-0.16","-0.27%","263.14K","24/08"
"AdvanSix","ASIX","33.62","33.71","33.06","+0.56","+1.69%","124.31K","24/08"
"Aegion","AEGN","24.90","25.54","24.87","-0.35","-1.39%","48.75K","24/08"
"Aerojet Rocketdyne","AJRD","36.00","36.51","35.91","-0.09","-0.25%","517.49K","24/08"
"AeroVironment","AVAV","85.32","85.56","83.24","+0.86","+1.02%","204.51K","24/08"
"Agilysys","AGYS","16.70","16.74","16.49","+0.25","+1.52%","56.46K","24/08"
"Agree","ADC","56.62","56.81","56.06","+0.29","+0.51%","88.48K","24/08"
"AK Steel","AKS","4.290","4.360","4.230","+0.040","+0.94%","6.02M","24/08"
"Alamo","ALG","98.38","98.91","97.46","+0.48","+0.49%","55.44K","24/08"
"Albany","AIN","76.95","77.30","76.40","0.00","0.00%","210.28K","24/08"
"Allegiant","ALGT","135.40","136.60","134.73","-0.80","-0.59%","108.62K","24/08"
"Allete","ALE","76.39","76.56","75.61","+0.01","+0.01%","295.71K","24/08"
"AMAG","AMAG","24.60","25.20","24.35","+0.10","+0.41%","405.84K","24/08"
"Amedisys","AMED","124.49","125.10","123.31","+0.76","+0.61%","298.44K","24/08"
"American Assets","AAT","39.42","39.44","39.13","+0.13","+0.33%","124.33K","24/08"
"American Axle&Manufacturing","AXL","17.96","18.04","17.71","+0.24","+1.35%","1.20M","24/08"
"American Equity Inv. Life","AEL","37.39","37.50","36.89","+0.50","+1.36%","316.47K","24/08"
"American Public Education","APEI","35.90","36.15","35.60","+0.25","+0.70%","50.21K","24/08"
"American States Water","AWR","60.81","61.07","60.08","-0.25","-0.41%","138.58K","24/08"
"American Vanguard","AVD","21.00","21.05","20.30","+0.60","+2.94%","197.93K","24/08"
"American Woodmark","AMWD","84.95","85.45","81.50","+3.00","+3.66%","370.58K","24/08"
"Ameris","ABCB","49.85","50.25","49.80","-0.15","-0.30%","309.13K","24/08"
"AMERISAFE","AMSF","64.10","64.45","62.75","+1.55","+2.48%","55.99K","24/08"
"AMN Healthcare Services","AMN","57.50","57.95","57.25","-0.05","-0.09%","249.72K","24/08"
"Amneal Pharma A","AMRX","23.07","23.85","22.78","-0.60","-2.53%","897.40K","24/08"
"Amphastar P","AMPH","18.02","18.29","17.87","-0.10","-0.55%","93.99K","24/08"
"AngioDynamics","ANGO","22.24","22.80","20.26","-0.26","-1.16%","117.83K","24/08"
"ANI Pharma","ANIP","57.31","57.98","56.91","+0.01","+0.02%","37.55K","24/08"
"Anika","ANIK","41.42","41.80","41.17","-0.05","-0.12%","71.98K","24/08"
"Anixter","AXE","72.20","72.35","71.50","+0.35","+0.49%","92.82K","24/08"
"Apogee","APOG","49.90","50.10","49.70","-0.04","-0.08%","94.06K","24/08"
"Applied Industrial Technologies","AIT","77.05","77.20","76.35","+0.40","+0.52%","84.11K","24/08"
"ArcBest Corp","ARCB","47.25","48.00","47.13","+0.20","+0.43%","188.19K","24/08"
"Archrock","AROC","12.80","13.00","12.70","0.00","0.00%","603.92K","24/08"
"Asbury Automotive","ABG","75.35","76.20","74.90","-0.40","-0.53%","84.58K","24/08"
"ASGN","ASGN","90.83","91.15","90.29","+0.35","+0.39%","298.23K","24/08"
"Assertio Therapeutics","ASRT","7.13","7.24","7.00","+0.17","+2.44%","475.26K","24/08"
"Astec","ASTE","48.44","48.81","47.66","+0.60","+1.25%","105.04K","24/08"
"Atlas Air","AAWW","62.05","62.55","61.70","+0.65","+1.06%","212.26K","24/08"
"ATN Int","ATNI","73.63","74.10","73.29","-0.06","-0.08%","35.15K","24/08"
"Avista","AVA","51.53","51.63","51.35","+0.07","+0.14%","163.07K","24/08"
"Axon Enterprise","AAXN","65.55","65.80","64.00","+1.54","+2.41%","446.67K","24/08"
"AZZ","AZZ","54.05","54.40","53.75","+0.20","+0.37%","79.98K","24/08"
"B&G Foods","BGS","32.00","32.25","31.25","+0.65","+2.07%","422.80K","24/08"
"Badger Meter","BMI","54.70","54.70","54.20","+0.45","+0.83%","39.24K","24/08"
"Balchem","BCPC","105.95","106.13","104.32","+1.86","+1.79%","64.66K","24/08"
"Banc of California","BANC","19.90","20.05","19.75","0.00","0.00%","230.64K","24/08"
"Banner","BANR","65.42","66.21","65.39","-0.59","-0.89%","167.74K","24/08"
"Barnes","B","68.47","68.55","67.51","+0.55","+0.81%","119.59K","24/08"
"Barnes & Noble Education Inc","BNED","5.24","5.60","5.23","-0.20","-3.68%","1.08M","24/08"
"Barnes&Noble","BKS","5.45","5.75","5.38","-0.30","-5.22%","1.02M","24/08"
"Bel Fuse B","BELFB","27.70","27.90","27.00","+0.55","+2.03%","16.33K","24/08"
"Belmond","BEL","16.10","16.18","15.90","+0.00","+0.00%","575.39K","24/08"
"Benchmark Electronics","BHE","25.90","26.00","25.60","+0.05","+0.19%","475.16K","24/08"
"Big 5","BGFV","5.75","5.95","5.70","-0.15","-2.54%","315.64K","24/08"
"Biglari","BH","195.64","201.75","193.89","-1.54","-0.78%","4.15K","24/08"
"BioTelemetry","BEAT","59.050","59.500","58.600","-0.150","-0.25%","245.16K","24/08"
"BJs Restaurants","BJRI","74.70","74.85","71.43","+3.85","+5.43%","427.49K","24/08"
"Black Box","BBOX","1.24","1.38","1.17","-0.12","-8.82%","1.02M","24/08"
"Blackbaud","BLKB","102.40","103.95","100.51","+2.41","+2.41%","294.11K","24/08"
"Blucora","BCOR","36.100","36.600","35.600","+0.300","+0.84%","329.84K","24/08"
"BofI Holding","BOFI","37.87","38.85","37.56","-0.75","-1.94%","468.41K","24/08"
"Boise Cascad Llc","BCC","45.30","45.45","44.75","+0.40","+0.89%","236.81K","24/08"
"Boston Private","BPFH","14.20","14.30","14.10","+0.05","+0.35%","380.31K","24/08"
"Bottomline","EPAY","63.95","64.12","63.44","+0.64","+1.01%","207.30K","24/08"
"Boyd Gaming","BYD","36.88","37.39","36.79","-0.09","-0.24%","447.54K","24/08"
"Brady","BRC","39.70","39.78","39.15","+0.45","+1.15%","395.57K","24/08"
"Briggs&Stratton","BGG","20.59","21.11","20.47","-0.10","-0.48%","290.76K","24/08"
"Brinks","BCO","77.85","78.10","77.45","+0.40","+0.52%","156.16K","24/08"
"Bristow","BRS","11.16","11.27","10.97","+0.13","+1.18%","392.15K","24/08"
"Brookline Bancorp","BRKL","18.20","18.35","18.15","-0.05","-0.27%","282.12K","24/08"
"Brooks Automation","BRKS","29.65","30.05","29.24","+0.26","+0.88%","230.37K","24/08"
"Buckle","BKE","26.55","29.65","25.70","-1.25","-4.50%","1.32M","24/08"
"Cabot","CCMP","112.52","112.84","111.30","+0.89","+0.80%","186.02K","24/08"
"CACI","CACI","193.60","193.85","191.45","+1.55","+0.81%","84.31K","24/08"
"Cal-Maine","CALM","50.10","50.73","49.90","0.00","0.00%","156.61K","24/08"
"CalAmp","CAMP","23.09","23.54","22.89","-0.24","-1.03%","381.47K","24/08"
"Calavo Growers","CVGW","105.50","106.00","104.60","+0.80","+0.76%","93.03K","24/08"
"Caleres","CAL","37.40","38.20","37.09","-1.05","-2.73%","248.96K","24/08"
"California Water Service","CWT","41.10","41.30","40.85","+0.15","+0.37%","178.22K","24/08"
"Callaway Golf","ELY","23.08","23.13","22.66","+0.53","+2.35%","1.29M","24/08"
"Cambrex","CBM","64.45","65.00","64.10","+0.45","+0.70%","183.82K","24/08"
"Cantel Medical","CMD","93.74","94.21","91.96","+1.39","+1.51%","267.66K","24/08"
"Capstead Mortgage","CMO","8.34","8.39","8.30","-0.04","-0.48%","459.18K","24/08"
"Carbo Ceramics","CRR","8.64","8.70","8.50","+0.02","+0.23%","158.64K","24/08"
"Cardtronics","CATM","37.99","39.10","37.77","-0.17","-0.45%","283.92K","24/08"
"Career","CECO","16.50","16.67","16.30","-0.01","-0.06%","265.78K","24/08"
"Caretrust Inc","CTRE","18.38","18.41","18.16","+0.08","+0.44%","312.44K","24/08"
"Carrizo Oil&Gas","CRZO","24.35","24.89","24.06","+0.19","+0.79%","1.96M","24/08"
"Cato","CATO","21.27","22.00","20.07","+1.17","+5.82%","724.04K","24/08"
"Cavco","CVCO","242.80","244.95","241.40","+1.70","+0.71%","31.22K","24/08"
"Cedar Realty","CDR","4.53","4.55","4.48","+0.01","+0.22%","125.93K","24/08"
"Celadon","CGIP","3.36","3.59","3.33","-0.19","-5.35%","89.98K","24/08"
"Central Garden&Pet","CENT","39.32","39.48","39.13","+0.25","+0.64%","60.25K","24/08"
"Central Garden&Pet A","CENTA","36.22","36.27","35.57","+0.06","+0.17%","203.04K","24/08"
"Century Aluminum","CENX","12.53","12.61","12.04","+0.58","+4.85%","2.46M","24/08"
"CEVA","CEVA","30.15","30.30","29.35","+0.80","+2.73%","111.93K","24/08"
"Chart Industries","GTLS","74.32","74.71","73.59","+0.84","+1.14%","226.60K","24/08"
"Chemed","CHE","320.89","323.69","318.71","+1.42","+0.44%","103.21K","24/08"
"Chemours Co","CC","44.400","44.640","43.830","+0.580","+1.32%","956.32K","24/08"
"Chesapeake Lodging","CHSP","32.63","32.72","32.41","+0.02","+0.06%","117.44K","24/08"
"Chuy's Holdings","CHUY","27.400","27.500","27.225","+0.150","+0.55%","85.17K","24/08"
"Cincinnati Bell","CBB","12.500","12.650","12.300","+0.050","+0.40%","207.36K","24/08"
"CIRCOR","CIR","43.43","43.52","42.86","+0.62","+1.45%","150.66K","24/08"
"City Holding","CHCO","81.92","82.57","81.63","-0.45","-0.55%","21.84K","24/08"
"Clearwater Paper","CLW","28.75","29.90","27.80","-2.15","-6.96%","285.24K","24/08"
"Cloud Peak Energy","CLD","2.470","2.550","2.450","+0.020","+0.82%","519.48K","24/08"
"CMTSU Liquidation","CBRI","0.002","0.002","0.002","0.000","0.00%","31.58K","24/08"
"Cogent","CCOI","53.65","53.85","52.21","+1.25","+2.39%","165.86K","24/08"
"Coherent","COHR","183.40","184.51","181.58","-0.44","-0.24%","215.02K","24/08"
"Cohu","COHU","26.07","26.13","25.71","+0.26","+1.01%","184.75K","24/08"
"Columbia Banking","COLB","42.35","42.69","42.29","-0.19","-0.45%","173.26K","24/08"
"Comfort Systems","FIX","56.80","57.50","56.40","-0.15","-0.26%","524.67K","24/08"
"Community Bank System","CBU","66.20","66.42","65.86","+0.03","+0.05%","81.15K","24/08"
"Community Health Systems","CYH","3.56","3.61","3.49","0.01","0.28%","1.13M","24/08"
"Computer Programs&Systems","CPSI","27.25","27.65","27.05","-0.10","-0.37%","73.71K","24/08"
"Comtech","CMTL","36.52","36.57","35.85","+0.45","+1.25%","120.14K","24/08"
"CONMED","CNMD","77.82","77.93","77.24","+0.17","+0.22%","144.00K","24/08"
"Consolidated Communications","CNSL","12.08","12.26","12.02","-0.01","-0.08%","311.91K","24/08"
"Contango Oil&Gas","MCF","5.85","6.14","5.85","-0.17","-2.82%","13.51K","23/08"
"Cooper Stnd","CPS","138.78","140.12","137.96","-0.77","-0.55%","73.62K","24/08"
"Core-Mark","CORE","35.54","35.69","34.58","+0.75","+2.16%","638.74K","24/08"
"CoreSite","COR","115.58","116.30","114.57","+0.69","+0.60%","192.44K","24/08"
"Corindus Vascular Robotics","CR3","0.866","0.866","0.866","+0.000","+0.00%","0","24/08"
"CorVel","CRVL","60.15","60.95","59.85","-0.15","-0.25%","25.02K","24/08"
"CPB","CPF","28.92","29.25","28.91","-0.22","-0.76%","117.19K","24/08"
"Cray","CRAY","21.50","21.53","21.00","+0.30","+1.42%","203.26K","24/08"
"Crocs","CROX","20.44","20.75","20.16","-0.25","-1.21%","698.78K","24/08"
"Cross Country","CCRN","10.03","10.22","9.97","-0.05","-0.50%","204.68K","24/08"
"CryoLife","CRY","34.05","34.65","33.58","-0.45","-1.30%","145.02K","24/08"
"CSG Systems","CSGS","37.02","37.12","36.61","+0.35","+0.95%","151.27K","24/08"
"CTS Corp","CTS","34.85","35.15","34.58","+0.10","+0.29%","178.19K","24/08"
"Cubic","CUB","75.70","75.75","74.45","+1.35","+1.82%","101.95K","24/08"
"Customers Bancorp","CUBI","24.91","25.68","24.88","-0.65","-2.54%","177.15K","24/08"
"CVB Financial","CVBF","24.57","24.76","24.56","-0.08","-0.32%","541.30K","24/08"
"Daktronics","DAKT","7.44","7.52","7.38","-0.04","-0.53%","365.21K","24/08"
"Darling Ingredients","DAR","20.37","20.50","20.29","+0.06","+0.30%","661.24K","24/08"
"Dave & Buster’s Entertainment","PLAY","57.45","58.05","55.52","+2.32","+4.21%","1.34M","24/08"
"DHI Group","DHX","2.25","2.35","2.25","+0.05","+2.27%","396.98K","24/08"
"Diamondrock Hospitality","DRH","11.72","11.80","11.66","0.00","0.00%","898.22K","24/08"
"Digi","DGII","13.20","13.35","13.05","0.00","0.00%","85.85K","24/08"
"Dime Community","DCOM","18.50","18.60","18.40","-0.05","-0.27%","142.83K","24/08"
"DineEquity","DIN","80.95","81.06","79.52","+0.75","+0.94%","508.38K","24/08"
"Diodes","DIOD","37.80","37.98","37.36","+0.56","+1.50%","460.92K","24/08"
"Diplomat Pharmacy","DPLO","19.75","20.02","19.58","+0.12","+0.61%","1.18M","24/08"
"Donnelley Financial Solutions","DFIN","20.68","20.75","20.46","+0.24","+1.17%","115.56K","24/08"
"Dorman","DORM","80.83","81.10","79.37","+1.63","+2.06%","69.05K","24/08"
"DSP Group","DSPG","12.90","13.00","12.80","+0.05","+0.39%","48.91K","24/08"
"DXP Enterprises","DXPE","48.56","49.15","48.33","-0.03","-0.06%","61.63K","24/08"
"Eagle Pharm","EGRX","80.60","81.51","79.70","-0.19","-0.24%","147.85K","24/08"
"EastGroup Properties","EGP","96.93","97.13","95.87","+0.91","+0.95%","127.70K","24/08"
"Ebix","EBIX","78.45","80.70","78.00","-1.80","-2.24%","184.80K","24/08"
"Echo Global","ECHO","33.40","33.45","32.80","+0.35","+1.06%","162.45K","24/08"
"eHealth","EHTH","29.93","30.15","29.03","+0.39","+1.32%","57.44K","24/08"
"El Paso Electric","EE","63.20","63.20","62.30","+0.60","+0.96%","95.82K","24/08"
"El Pollo Loco Holdings Inc","LOCO","12.50","12.55","12.35","0.00","0.00%","114.92K","24/08"
"Electro Scientific","ESIO","22.88","23.40","22.87","-0.22","-0.95%","364.10K","24/08"
"Electronics for Imaging","EFII","34.75","34.90","34.17","+0.48","+1.40%","291.55K","24/08"
"Emergent Biosolutions","EBS","59.88","61.03","59.84","-0.55","-0.91%","164.62K","24/08"
"Employers","EIG","44.80","44.85","44.15","+0.60","+1.36%","97.49K","24/08"
"Enanta","ENTA","91.60","92.52","90.92","+0.24","+0.26%","66.55K","24/08"
"Encore Capital","ECPG","40.00","40.10","39.05","+0.60","+1.52%","412.56K","24/08"
"Encore Wire","WIRE","51.85","51.95","51.25","+0.65","+1.27%","98.25K","24/08"
"Engility","EGL","34.820","34.870","34.375","+0.410","+1.19%","136.08K","24/08"
"Enova International Inc","ENVA","35.40","35.55","34.80","+0.25","+0.71%","96.41K","24/08"
"Enpro Industries","NPO","75.34","75.82","74.16","+1.00","+1.35%","53.04K","24/08"
"ePlus","PLUS","101.95","102.70","101.20","-0.10","-0.10%","48.85K","24/08"
"Era Group Inc","ERA","12.46","12.54","12.20","+0.28","+2.30%","42.64K","24/08"
"ESCO Technologies","ESE","68.50","68.70","67.95","0.00","0.00%","71.36K","24/08"
"Essendant Inc","ESND","15.09","15.16","14.88","+0.09","+0.60%","105.12K","24/08"
"Ethan Allen Interiors","ETH","22.85","22.93","22.60","0.00","0.00%","76.78K","24/08"
"Evercore","EVR","108.60","108.90","107.70","+1.05","+0.98%","213.30K","24/08"
"EW Scripps A","SSP","14.57","14.93","14.45","+0.07","+0.48%","246.80K","24/08"
"ExlServices","EXLS","61.83","61.88","60.87","+0.66","+1.08%","75.30K","24/08"
"Exponent","EXPO","52.80","52.85","51.83","+0.80","+1.54%","172.75K","24/08"
"Express","EXPR","10.41","10.65","10.24","-0.32","-2.98%","1.87M","24/08"
"Exterran Corp","EXTN","28.91","29.00","28.50","+0.48","+1.69%","140.27K","24/08"
"EZCORP","EZPW","11.15","11.25","11.10","-0.05","-0.45%","253.60K","24/08"
"Fabrinet","FN","47.83","48.30","47.19","-0.19","-0.40%","637.95K","24/08"
"FARO","FARO","67.25","68.70","67.25","-0.85","-1.25%","44.25K","24/08"
"Federal Signal","FSS","26.05","26.16","25.94","+0.01","+0.04%","360.28K","24/08"
"Fidelity","LION","24.19","24.41","24.15","+0.03","+0.12%","102.54K","24/08"
"Fiesta","FRGI","29.050","29.300","28.800","-0.250","-0.85%","246.29K","24/08"
"First Bancorp","FBP","9.060","9.060","8.910","+0.070","+0.78%","1.21M","24/08"
"First Commonwealth Financial","FCF","16.97","17.09","16.93","-0.08","-0.47%","275.35K","24/08"
"First Financial Bancorp","FFBC","31.80","31.95","31.68","-0.10","-0.31%","125.79K","24/08"
"First Financial Bankshares","FFIN","60.30","60.55","60.05","+0.05","+0.08%","200.81K","24/08"
"First Midwest","FMBI","27.39","27.64","27.36","-0.16","-0.58%","335.77K","24/08"
"First NBC Bank","FNBCQ","0.04","0.04","0.03","0.00","0.00%","5.80K","24/08"
"FirstCash","FCFS","81.75","82.00","81.05","+0.75","+0.93%","153.80K","24/08"
"Five Below","FIVE","114.790","115.600","113.990","+0.050","+0.04%","609.00K","24/08"
"Flotek","FTK","2.15","2.26","2.13","-0.05","-2.27%","671.68K","24/08"
"Forestar","FOR","25.75","25.95","25.30","+0.50","+1.98%","22.79K","24/08"
"Forrester","FORR","49.25","49.60","45.65","-0.25","-0.51%","20.67K","24/08"
"Forward Air","FWRD","63.90","64.13","63.25","+0.47","+0.74%","85.62K","24/08"
"Four Corners Property Trust Inc","FCPT","26.93","27.01","26.65","+0.23","+0.86%","301.80K","24/08"
"Fox Factory","FOXF","64.75","65.30","64.10","+0.60","+0.94%","153.83K","24/08"
"Francescass","FRAN","6.90","7.18","6.77","-0.27","-3.77%","769.94K","24/08"
"Franklin Electric","FELE","48.50","48.80","48.25","+0.05","+0.10%","131.69K","24/08"
"Franklin Street Properties","FSP","8.43","8.44","8.30","+0.06","+0.72%","112.81K","23/08"
"Freds","FRED","1.71","1.77","1.69","+0.02","+1.18%","603.41K","24/08"
"FTD Companies Inc","FTD","3.77","3.90","3.72","0.00","0.00%","118.60K","24/08"
"FutureFuel","FF","15.19","15.32","15.03","+0.10","+0.66%","34.52K","24/08"
"G-III Apparel","GIII","46.53","46.84","45.52","+0.28","+0.61%","521.84K","24/08"
"Gannett","GCI","10.75","10.79","10.48","+0.24","+2.28%","959.53K","24/08"
"Genesco","GCO","44.80","46.25","44.23","-1.70","-3.66%","268.40K","24/08"
"Gentherm","THRM","49.00","49.20","48.45","+0.20","+0.41%","193.03K","24/08"
"Geo","GEO","25.04","25.14","24.87","0.00","0.00%","513.12K","24/08"
"Geospace","GEOS","14.30","14.38","14.07","+0.24","+1.71%","27.48K","24/08"
"Getty","GTY","29.15","29.50","29.04","+0.00","+0.00%","61.62K","24/08"
"Gibraltar Industries","ROCK","45.70","46.00","45.40","-0.05","-0.11%","82.17K","24/08"
"Glacier","GBCI","45.35","45.54","45.27","+0.09","+0.20%","199.19K","24/08"
"Glatfelter","GLT","18.44","18.83","18.40","-0.04","-0.22%","302.33K","24/08"
"Government Propertiesome","GOV","16.94","16.99","16.79","+0.08","+0.47%","453.87K","24/08"
"Great Western Bancorp Inc","GWB","43.43","44.00","43.38","-0.40","-0.91%","125.22K","24/08"
"Green Dot","GDOT","85.66","87.08","85.24","-0.06","-0.07%","215.49K","24/08"
"Green Plains Energy","GPRE","18.00","18.15","17.80","+0.17","+0.95%","796.60K","24/08"
"Greenbrier","GBX","59.70","60.05","59.25","+0.30","+0.51%","407.54K","24/08"
"Greenhill&Co","GHL","29.65","29.90","29.45","+0.10","+0.34%","184.47K","24/08"
"Griffon","GFF","18.35","18.35","18.15","+0.15","+0.82%","85.03K","24/08"
"Group 1 Automotive","GPI","78.53","80.31","78.47","-1.46","-1.83%","97.45K","24/08"
"Guess?","GES","23.39","23.64","23.06","-0.33","-1.39%","407.50K","24/08"
"Gulf Island Fabrication","GIFI","9.65","9.80","9.53","-0.05","-0.52%","23.07K","24/08"
"H B Fuller","FUL","58.97","59.19","58.41","+0.48","+0.82%","192.87K","24/08"
"Haemonetics","HAE","106.86","108.00","104.94","+0.07","+0.07%","250.88K","24/08"
"Hanmi","HAFC","26.300","26.650","26.300","-0.150","-0.57%","107.85K","24/08"
"Harmonic","HLIT","5.550","5.650","5.400","+0.150","+2.78%","457.21K","24/08"
"Harsco","HSC","27.45","27.70","26.90","+0.35","+1.29%","502.40K","24/08"
"Haverty Furniture","HVT","22.35","22.40","22.10","+0.05","+0.22%","62.73K","24/08"
"Hawaiian","HA","41.40","41.50","40.65","+0.20","+0.49%","419.08K","24/08"
"Hawkins","HWKN","42.00","42.20","41.50","+0.20","+0.48%","12.70K","24/08"
"Haynes","HAYN","38.41","39.09","37.85","+0.43","+1.13%","66.78K","24/08"
"HCI Group Inc","HCI","42.16","42.38","41.05","+1.08","+2.63%","43.58K","24/08"
"Healthcare Services","HCSG","41.21","41.52","41.01","+0.08","+0.19%","296.44K","24/08"
"Healthequity Inc","HQY","88.24","89.09","87.04","+0.87","+1.00%","559.21K","24/08"
"HealthStream","HSTM","31.29","31.36","30.95","+0.33","+1.07%","57.21K","24/08"
"Heartland Express","HTLD","20.12","20.32","19.85","-0.06","-0.30%","243.14K","24/08"
"Heidrick&Struggles","HSII","44.05","45.03","44.00","-0.20","-0.45%","112.63K","24/08"
"Helix","HLX","9.21","9.30","9.20","+0.09","+0.99%","588.70K","24/08"
"HFF","HF","45.43","45.72","44.86","+0.48","+1.07%","121.55K","24/08"
"Hibbett Sports","HIBB","20.53","23.50","20.35","-8.88","-30.19%","6.80M","24/08"
"HighPoint","HPR","5.25","5.43","5.25","-0.04","-0.76%","1.02M","24/08"
"Hillenbrand","HI","51.40","51.50","51.03","+0.35","+0.69%","159.84K","24/08"
"HMS Holdings","HMSY","31.46","31.58","31.30","0.00","0.00%","386.58K","24/08"
"Home BancShares","HOMB","23.74","23.99","23.73","-0.16","-0.67%","230.58K","24/08"
"Hope Bancorp","HOPE","17.61","17.79","17.61","-0.16","-0.90%","448.21K","24/08"
"Horace Mann Educators","HMN","46.30","46.40","45.65","+0.55","+1.20%","54.27K","24/08"
"Hornbeck","HOS","4.63","4.69","4.37","+0.28","+6.44%","254.50K","24/08"
"Hub Group","HUBG","51.60","51.90","51.30","+0.30","+0.58%","142.37K","24/08"
"Iconix Brand","ICON","0.38","0.42","0.38","-0.01","-2.05%","1.18M","24/08"
"ICU Medical","ICUI","304.00","304.85","299.53","+5.00","+1.67%","203.12K","24/08"
"II-VI","IIVI","47.80","48.48","47.75","+0.10","+0.21%","380.45K","24/08"
"ILG","ILG","35.28","35.34","35.12","+0.10","+0.28%","695.61K","24/08"
"Independent Bank","INDB","90.35","90.85","90.01","-0.10","-0.11%","31.92K","24/08"
"Ingevity","NGVT","100.4200","101.2500","99.7501","+0.5100","+0.51%","165.29K","24/08"
"Innophoss","IPHS","44.39","44.54","42.93","+1.10","+2.54%","67.50K","24/08"
"Innospec","IOSP","77.80","77.85","75.80","+1.95","+2.57%","99.78K","24/08"
"Inogen Inc","INGN","246.04","247.96","241.11","+4.66","+1.93%","127.19K","24/08"
"Insight Enterprises","NSIT","56.23","56.35","55.17","+0.87","+1.57%","244.92K","24/08"
"Insperity","NSP","115.35","116.45","114.30","-0.25","-0.22%","285.31K","24/08"
"Installed Building","IBP","47.10","47.85","46.50","+0.40","+0.86%","333.20K","24/08"
"Integer Hld","ITGR","77.00","77.35","76.85","0.00","0.00%","234.47K","24/08"
"Integra","IART","59.22","60.23","59.04","-0.30","-0.50%","345.42K","24/08"
"Inter Parfums","IPAR","66.25","67.20","65.00","+0.30","+0.45%","67.61K","24/08"
"Interactive Brokers","IBKR","61.08","61.43","60.58","+0.22","+0.36%","837.05K","24/08"
"Interface, Inc.","TILE","23.40","23.40","22.95","+0.30","+1.30%","268.16K","24/08"
